GSMID	GSEID	BrendaTerm
GSM240833	GSE9489, GSE9493	kidney
GSM240832	GSE9489, GSE9493	kidney
GSM240835	GSE9489, GSE9493	kidney
GSM240834	GSE9489, GSE9493	kidney
GSM240837	GSE9489, GSE9493	kidney
GSM240836	GSE9489, GSE9493	kidney
GSM240839	GSE9489, GSE9493	kidney
GSM240838	GSE9489, GSE9493	kidney
GSM281902	GSE11190	liver
GSM281903	GSE11190	liver
GSM281900	GSE11190	liver
GSM281901	GSE11190	liver
GSM281906	GSE11190	blood
GSM281907	GSE11190	blood
GSM281904	GSE11190	liver
GSM281905	GSE11190	blood
GSM281908	GSE11190	blood
GSM281909	GSE11190	blood
GSM408728	GSE16226	skin fibroblast
GSM249719	GSE9890, GSE9899	ovarian low malignant potential tumor cell
GSM238945	GSE5281	striate cortex
GSM408723	GSE16226	skin fibroblast
GSM408722	GSE16226	skin fibroblast
GSM238948	GSE5281	striate cortex
GSM238949	GSE5281	striate cortex
GSM498681	GSE19959	uterine endometrium
GSM498680	GSE19959	uterine endometrium
GSM358381	GSE14333	colon
GSM258036	GSE10445	lung
GSM258037	GSE10445	lung
GSM258038	GSE10445	lung
GSM298219	GSE11952, GSE19407	lung
GSM298210	GSE11783	urinary bladder
GSM298211	GSE11783	urinary bladder
GSM298212	GSE11783	urinary bladder
GSM298213	GSE11783	urinary bladder
GSM298214	GSE11783	urinary bladder
GSM298215	GSE11783	urinary bladder
GSM298216	GSE11783	urinary bladder
GSM298217	GSE11783	urinary bladder
GSM624037	GSE25414	blood
GSM97881	GSE4290	brain
GSM97880	GSE4290	brain
GSM97883	GSE4290	brain
GSM97885	GSE4290	brain
GSM97884	GSE4290	brain
GSM97887	GSE4290	brain
GSM97886	GSE4290	brain
GSM158711	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM158712	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM158713	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM158714	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM158715	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM158716	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM158717	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM158718	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM158719	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM440032	GSE17624	Ishikawa cell
GSM347341	GSE13811	chronic lymphocytic leukemia cell, peripheral blood
GSM347343	GSE13811	chronic lymphocytic leukemia cell, peripheral blood
GSM347345	GSE13811	chronic lymphocytic leukemia cell, peripheral blood
GSM347344	GSE13811	chronic lymphocytic leukemia cell, peripheral blood
GSM347346	GSE13811	chronic lymphocytic leukemia cell, peripheral blood
GSM343846	GSE13671	breast epithelial cell
GSM343847	GSE13671	breast epithelial cell
GSM343844	GSE13671	breast epithelial cell
GSM343845	GSE13671	breast epithelial cell
GSM343842	GSE13671	breast epithelial cell
GSM343843	GSE13671	breast epithelial cell
GSM343840	GSE13671	breast epithelial cell
GSM343841	GSE13671	breast epithelial cell
GSM440034	GSE17624	Ishikawa cell
GSM564836	GSE22859, GSE22872	cervical carcinoma cell, HeLa cell
GSM564834	GSE22859, GSE22872	cervical carcinoma cell, HeLa cell
GSM564835	GSE22859, GSE22872	cervical carcinoma cell, HeLa cell
GSM262044	GSE10358, GSE12662	bone marrow
GSM262045	GSE10358, GSE12662	bone marrow
GSM262046	GSE10358, GSE12662	bone marrow
GSM262047	GSE10358, GSE12662	bone marrow
GSM262040	GSE10358, GSE12662	bone marrow
GSM262041	GSE10358, GSE12662	bone marrow
GSM262042	GSE10358, GSE12662	bone marrow
GSM262043	GSE10358, GSE12662	bone marrow
GSM262048	GSE10358, GSE12662	bone marrow
GSM262049	GSE10358, GSE12662	bone marrow
GSM347699	GSE13818	carcinoma cell line, renal cell carcinoma cell
GSM275178	GSE10846, GSE17372	lymph node
GSM275179	GSE10846, GSE17372	lymph node
GSM275177	GSE10846, GSE17372	lymph node
GSM275170	GSE10846, GSE17372	lymph node
GSM275171	GSE10846	lymph node
GSM287405	GSE11375	blood
GSM287404	GSE11375	blood
GSM287407	GSE11375	blood
GSM287406	GSE11375	blood
GSM287401	GSE11375	blood
GSM287400	GSE11375	blood
GSM287403	GSE11375	blood
GSM287402	GSE11375	blood
GSM287409	GSE11375	blood
GSM287408	GSE11375	blood
